"","V1","V2"
"1",0,6000
"2",0,5221
"3",0,5843
"4",0,5628
"5",0,7765
"6",0,7251
"7",0,5189
"8",0,5402
"9",0,7706
"10",0,7155
"11",0,5583
"12",0,5930
"13",0,5693
"14",0,7143
"15",0,5199
"16",0,5841
"17",0,6271
"18",0,7788
"19",3,8254
"20",6,8676
"21",6,8714
"22",6,5553
"23",7,7481
"24",7,7779
"25",7,8524
"26",7,8132
"27",7,6809
"28",7,8153
"29",7,8191
"30",9,4818
"31",11,8081
"32",11,8346
"33",12,5373
"34",14,8416
"35",22,7478
"36",22,6215
"37",22,4933
"38",22,5244
"39",26,7207
"40",26,6081
"41",26,7813
"42",27,6324
"43",29,8480
"44",30,7763
"45",32,8191
"46",32,8524
"47",32,8084
"48",32,8207
"49",32,8518
"50",32,8648
"51",32,8073
"52",32,8704
"53",32,8642
"54",33,6215
"55",33,5244
"56",33,6621
"57",33,4824
"58",33,7227
"59",33,7014
"60",33,4688
"61",33,5194
"62",33,4823
"63",34,6713
"64",35,6164
"65",36,6794
"66",36,8127
"67",36,8068
"68",36,7698
"69",36,6773
"70",36,7961
"71",36,7562
"72",36,5411
"73",38,5409
"74",38,6939
"75",38,8286
"76",38,7331
"77",40,5363
"78",40,5803
"79",40,7848
"80",40,6417
"81",40,7999
"82",40,8211
"83",40,5964
"84",40,5088
"85",40,8208
"86",40,7678
"87",40,4684
"88",40,7612
"89",40,4936
"90",40,5299
"91",41,7682
"92",43,7457
"93",43,7221
"94",47,5478
"95",47,6176
"96",49,8859
"97",49,8308
"98",49,8924
"99",49,8849
"100",49,8902
"101",49,8447
"102",49,8337
"103",52,8127
"104",52,8068
"105",52,7956
"106",52,6773
"107",52,8192
"108",52,7028
"109",52,6794
"110",52,8176
"111",54,8888
"112",54,8748
"113",54,8202
"114",55,8143
"115",56,8228
"116",58,5867
"117",60,7229
"118",60,7191
"119",64,8323
"120",71,7576
"121",72,7297
"122",75,8328
"123",76,8177
"124",76,6858
"125",76,5762
"126",77,4925
"127",77,5413
"128",77,7957
"129",77,4888
"130",77,4787
"131",77,5900
"132",77,5277
