"","V1","V2"
"1",0,6000
"2",0,5221
"3",0,5843
"4",0,5628
"5",0,7765
"6",0,7251
"7",0,5189
"8",0,5402
"9",0,7706
"10",0,7155
"11",0,5583
"12",0,5930
"13",0,5693
"14",0,7143
"15",0,5199
"16",0,5841
"17",0,6271
"18",0,7788
"19",3,8254
"20",5,4755
"21",6,8081
"22",6,8676
"23",6,8714
"24",6,7687
"25",6,6973
"26",6,7859
"27",6,7543
"28",6,5553
"29",7,7481
"30",7,7779
"31",7,8524
"32",7,8132
"33",7,6809
"34",7,8153
"35",7,8191
"36",9,4818
"37",11,7160
"38",11,8081
"39",11,8346
"40",11,6997
"41",12,5373
"42",14,8416
"43",22,7478
"44",22,7944
"45",22,6215
"46",22,4933
"47",22,5244
"48",26,7207
"49",26,6081
"50",26,7813
"51",27,6324
"52",29,8480
"53",30,7763
"54",30,7056
"55",32,8191
"56",32,8524
"57",32,8084
"58",32,8207
"59",32,8518
"60",32,8648
"61",32,8073
"62",32,8704
"63",32,8642
"64",33,6215
"65",33,5244
"66",33,6621
"67",33,4824
"68",33,7227
"69",33,7014
"70",33,4688
"71",33,5194
"72",33,4823
"73",34,6713
"74",35,6164
"75",36,6794
"76",36,8127
"77",36,8068
"78",36,7698
"79",36,6773
"80",36,7961
"81",36,7562
"82",36,5411
"83",37,7371
"84",38,5409
"85",38,6939
"86",38,8286
"87",38,7331
"88",40,5363
"89",40,5803
"90",40,8006
"91",40,7848
"92",40,6417
"93",40,7999
"94",40,8211
"95",40,5964
"96",40,5088
"97",40,8208
"98",40,7678
"99",40,4684
"100",40,7612
"101",40,4936
"102",40,5299
"103",41,7682
"104",43,7457
"105",43,7221
"106",47,5478
"107",47,6176
"108",47,6779
"109",49,8859
"110",49,8308
"111",49,8924
"112",49,8849
"113",49,8902
"114",49,8447
"115",49,8337
"116",52,8127
"117",52,8068
"118",52,7956
"119",52,6773
"120",52,8149
"121",52,8192
"122",52,7028
"123",52,6794
"124",52,8176
"125",54,8888
"126",54,8748
"127",54,8202
"128",54,8803
"129",55,8143
"130",56,8228
"131",58,5867
"132",59,5390
