,V1,V2
1,0,0
2,0,4544
3,0,594
4,0,2374
5,0,1572
6,0,4170
7,0,2601
8,0,3910
9,0,1989
10,0,643
11,1,1
12,1,2944
13,1,4567
14,1,3266
15,1,741
16,1,4240
17,2,2
18,3,3
19,3,1857
20,3,3139
21,4,4
22,4,4436
23,4,3637
24,4,1420
25,4,491
26,5,5
27,5,3850
28,6,6
29,7,7
30,7,3436
31,8,8
32,8,3855
33,9,9
34,9,624
35,9,2068
36,9,96
37,9,1548
38,10,10
39,10,2633
40,10,3739
41,10,1724
42,10,1959
43,10,3312
44,10,1115
45,10,3058
46,11,11
47,11,4643
48,11,762
49,11,1122
50,11,1233
51,11,89
52,11,2200
53,11,2212
54,11,1338
55,11,3579
56,12,12
57,12,2293
58,13,13
59,13,2762
60,13,711
61,13,2034
62,13,2556
63,13,3673
64,14,14
65,15,15
66,15,250
67,15,3901
68,15,38
69,15,1298
70,15,299
71,15,1246
72,15,3805
73,16,16
74,16,4486
75,16,3763
76,17,17
77,17,4236
78,17,1933
79,17,2740
80,17,2539
81,17,566
82,17,1836
83,17,1812
84,18,18
85,19,19
86,20,20
87,20,3484
88,20,2701
89,20,2211
90,20,2880
91,20,2762
92,20,2148
93,20,1421
94,21,21
95,21,1714
96,21,3013
97,21,4330
98,21,4103
99,22,22
100,22,1503
101,22,817
102,22,3889
103,23,23
104,23,569
105,23,2715
106,24,24
107,25,25
108,25,341
109,25,1347
110,25,1971
111,26,26
112,26,3873
113,27,27
114,27,2775
115,27,1335
116,28,28
117,28,3801
118,28,2243
119,28,3269
120,28,3926
121,28,681
122,28,427
123,28,2704
124,29,29
125,29,1978
126,29,1866
127,29,1936
128,30,30
129,30,180
130,31,31
131,31,3544
132,32,32
133,32,3762
134,32,3266
135,33,33
136,33,4128
137,33,1816
138,33,3145
139,33,3747
140,33,1276
141,33,2635
142,33,1438
143,34,34
144,34,3730
145,34,3135
146,35,35
147,35,766
148,35,3758
149,35,2479
150,35,3300
151,35,2418
152,35,3115
153,35,2309
154,36,36
155,36,3561
156,36,3972
157,36,4193
158,36,3731
159,36,1326
160,36,3326
161,36,2961
162,37,37
163,37,2232
164,37,3822
165,38,38
166,38,3771
167,38,15
168,38,299
169,39,39
170,39,4612
171,40,40
172,40,469
173,41,41
174,41,2646
175,41,2907
176,42,42
177,42,2934
178,42,1371
179,42,533
180,42,1958
181,42,1740
182,43,43
183,43,2935
184,44,44
185,44,4031
186,44,4171
187,45,45
188,45,2512
189,46,46
190,46,4398
191,46,1836
192,46,343
193,46,789
194,46,2436
195,46,2740
196,46,566
197,47,47
198,48,48
199,48,750
200,49,49
201,49,523
202,49,4009
203,49,2855
204,49,4385
205,49,4078
206,49,2788
207,49,1255
208,50,50
209,50,1662
210,50,1395
211,50,3066
212,50,2843
213,50,3883
214,51,51
215,51,3923
216,51,518
217,51,2595
218,51,3517
219,52,52
220,53,53
221,53,1189
222,53,3156
223,53,2120
224,53,3862
225,54,54
226,55,55
227,56,56
228,56,254
229,56,2798
230,56,3900
231,56,3950
232,56,1917
233,56,1934
234,56,748
235,57,57
236,57,4070
237,57,1610
238,58,58
239,58,2372
240,58,4162
241,59,59
242,59,516
243,59,2251
244,59,3295
245,59,1783
246,59,1500
247,59,733
248,59,4564
249,60,60
250,60,3389
251,60,2073
252,60,123
253,60,1712
254,60,1293
255,60,3599
256,61,61
257,62,62
258,62,2222
259,62,3319
260,62,3293
261,62,4114
262,62,1056
263,63,63
264,63,1521
265,64,64
266,64,131
267,64,2929
268,64,1988
269,64,669
270,64,1092
271,64,589
272,64,651
273,65,65
274,65,3161
275,66,66
276,66,3066
277,66,862
278,66,4586
279,66,4131
280,67,67
281,67,3169
282,67,4231
283,67,2416
284,67,4619
285,67,1133
286,68,68
287,68,71
288,68,668
289,68,1630
290,68,2332
291,68,1883
292,69,69
293,69,627
294,69,1773
295,69,2488
296,69,4387
297,69,3548
298,69,2464
299,69,4138
300,69,3049
301,70,70
302,70,2046
303,70,1509
304,70,2991
305,70,649
306,70,442
307,70,2830
308,70,4408
309,71,71
310,71,1523
311,71,3118
312,71,103
313,71,1186
314,71,68
315,72,72
316,72,2738
317,73,73
318,73,3833
319,74,74
320,74,3725
321,75,75
322,75,3678
323,75,4224
324,76,76
325,76,3613
326,76,1418
327,77,77
328,77,901
329,78,78
330,78,4017
331,78,3993
332,78,1777
333,78,1942
334,79,79
335,79,145
336,79,329
337,79,4230
338,79,3991
339,79,3265
340,79,721
341,79,1282
342,80,80
343,80,197
344,81,81
345,81,1978
346,81,4231
347,81,770
348,81,3015
349,81,348
350,81,185
351,81,3833
352,82,82
353,83,83
354,84,84
355,84,4505
356,84,4619
357,84,3585
358,85,85
359,86,86
360,86,1007
361,86,463
362,86,2959
363,86,1277
364,87,87
365,87,3335
366,87,3281
367,87,3520
368,87,2404
369,87,2203
370,88,88
371,88,2167
372,88,2837
373,88,2999
374,88,2459
375,88,337
376,88,2574
377,88,3698
378,89,89
379,89,11
380,89,1233
381,89,4088
382,89,2212
383,89,4643
384,89,1905
385,90,90
386,90,394
387,90,854
388,90,3373
389,90,2468
390,90,3925
391,90,2764
392,91,91
393,91,1624
394,91,2281
395,91,2750
396,91,3885
397,92,92
398,92,354
399,92,1822
400,93,93
401,94,94
402,94,1735
403,94,2982
404,94,3162
405,94,3341
406,95,95
407,95,2602
408,95,4249
409,95,755
410,95,530
411,95,3309
412,95,438
413,96,96
414,96,9
415,96,2517
