"","V1","V2"
"1",4644,4644
"2",4644,4674
"3",4644,4911
"4",4644,4844
"5",4645,4645
"6",4645,4657
"7",4645,4663
"8",4645,4681
"9",4645,4865
"10",4645,4856
"11",4645,4857
"12",4646,4646
"13",4646,4691
"14",4646,4700
"15",4646,4650
"16",4646,4757
"17",4646,4748
"18",4646,4885
"19",4646,4873
"20",4646,4720
"21",4647,4647
"22",4647,4649
"23",4647,4676
"24",4647,4733
"25",4647,4787
"26",4647,4667
"27",4647,5024
"28",4648,4648
"29",4648,4752
"30",4648,4814
"31",4649,4649
"32",4649,4676
"33",4649,4647
"34",4649,4733
"35",4649,4787
"36",4649,5024
"37",4649,5141
"38",4650,4650
"39",4650,4700
"40",4650,4646
"41",4650,4691
"42",4650,4757
"43",4650,4965
"44",4650,4748
"45",4650,4690
"46",4650,4708
"47",4650,4692
"48",4651,4651
"49",4651,4693
"50",4651,4698
"51",4651,4668
"52",4651,4687
"53",4651,4925
"54",4651,4670
"55",4651,4658
"56",4651,4654
"57",4652,4652
"58",4652,4846
"59",4652,4671
"60",4652,4868
"61",4652,4718
"62",4653,4653
"63",4653,4682
"64",4653,5035
"65",4653,4856
"66",4653,4843
"67",4653,4774
"68",4653,4765
"69",4653,4865
"70",4653,4680
"71",4653,4736
"72",4654,4654
"73",4654,4693
"74",4654,4668
"75",4654,4925
"76",4654,4687
"77",4654,4651
"78",4654,4846
"79",4655,4655
"80",4655,4711
"81",4655,4774
"82",4655,4741
"83",4655,4657
"84",4655,4865
"85",4655,4801
"86",4655,4726
"87",4655,4788
"88",4656,4656
"89",4656,4678
"90",4656,4723
"91",4656,4742
"92",4656,4686
"93",4656,5185
"94",4657,4657
"95",4657,4865
"96",4657,4682
"97",4657,4775
"98",4657,4645
"99",4657,4711
"100",4657,4774
"101",4657,4655
"102",4657,4663
"103",4657,4856
"104",4658,4658
"105",4658,4687
"106",4658,4675
"107",4658,4668
"108",4658,4660
"109",4658,4756
"110",4658,4670
"111",4658,4651
"112",4658,4671
"113",4659,4659
"114",4659,4806
"115",4659,4883
"116",4659,4702
"117",4659,6166
"118",4659,5335
"119",4659,4857
"120",4660,4660
"121",4660,4698
"122",4660,4695
"123",4660,4756
"124",4660,4658
"125",4660,4668
"126",4660,4670
"127",4660,4677
"128",4660,4671
"129",4660,4667
"130",4661,4661
"131",4661,4721
"132",4661,4701
"133",4661,4776
"134",4661,5491
"135",4662,4662
"136",4662,4844
"137",4663,4663
"138",4663,4681
"139",4663,4856
"140",4663,4645
"141",4663,4657
"142",4663,4804
"143",4663,4696
"144",4663,4765
"145",4664,4664
"146",4664,4783
"147",4664,4891
"148",4664,5158
"149",4664,5708
"150",4664,4945
"151",4664,5805
"152",4665,4665
"153",4665,4684
"154",4665,4943
"155",4665,4999
"156",4665,4728
"157",4666,4666
"158",4666,4882
"159",4666,4962
"160",4667,4667
"161",4667,4693
"162",4667,4698
"163",4667,4670
"164",4667,4668
"165",4667,4733
"166",4667,4677
"167",4667,4676
"168",4667,4660
"169",4667,4647
"170",4668,4668
"171",4668,4670
"172",4668,4693
"173",4668,4658
"174",4668,4667
"175",4668,4687
"176",4668,4698
"177",4668,4651
"178",4668,4660
"179",4668,4654
"180",4669,4669
"181",4669,4819
"182",4670,4670
"183",4670,4668
"184",4670,4698
"185",4670,4693
"186",4670,4667
"187",4670,4660
"188",4670,4651
"189",4670,4756
"190",4670,4658
"191",4671,4671
"192",4671,4756
"193",4671,4660
"194",4671,4718
"195",4671,4658
"196",4671,4652
"197",4671,4868
"198",4672,4672
"199",4673,4673
"200",4673,4734
"201",4673,5657
"202",4673,4729
"203",4673,4877
"204",4673,4779
"205",4673,4878
"206",4673,4810
"207",4674,4674
"208",4674,4644
"209",4674,4911
"210",4674,5374
"211",4675,4675
"212",4675,4658
"213",4675,4687
"214",4675,4756
"215",4676,4676
"216",4676,4649
"217",4676,4647
"218",4676,4667
"219",4676,4733
"220",4676,4787
"221",4676,5024
"222",4676,5141
"223",4677,4677
"224",4677,4695
"225",4677,4733
"226",4677,4667
"227",4677,4660
"228",4677,4782
"229",4677,4888
"230",4677,4787
"231",4678,4678
"232",4678,4656
"233",4678,4742
"234",4678,4686
"235",4679,4679
"236",4679,5205
"237",4679,4761
"238",4680,4680
"239",4680,4682
"240",4680,5035
"241",4680,4741
"242",4680,4653
"243",4680,4812
"244",4680,4736
"245",4680,4843
"246",4680,4801
"247",4681,4681
"248",4681,4663
"249",4681,4645
"250",4681,4856
"251",4681,4812
"252",4681,4804
"253",4682,4682
"254",4682,4653
"255",4682,4774
"256",4682,4741
"257",4682,4865
"258",4682,5035
"259",4682,4680
"260",4682,4657
"261",4682,4843
"262",4682,4981
"263",4683,4683
"264",4683,5054
"265",4683,5706
"266",4684,4684
"267",4684,4692
"268",4684,4737
"269",4684,5726
"270",4684,5007
"271",4684,5179
"272",4684,5030
"273",4684,4728
"274",4684,4665
"275",4685,4685
"276",4685,6536
"277",4686,4686
"278",4686,4742
"279",4686,4656
"280",4686,4678
"281",4686,5035
"282",4687,4687
"283",4687,4658
"284",4687,4668
"285",4687,4698
"286",4687,4651
"287",4687,4693
"288",4687,4694
"289",4687,4675
"290",4687,4654
"291",4688,4688
"292",4688,4790
"293",4688,5359
"294",4688,4824
"295",4688,4710
"296",4689,4689
"297",4689,4762
"298",4689,4874
"299",4689,4820
"300",4689,4905
"301",4689,4852
"302",4689,4797
"303",4689,4870
"304",4689,4867
"305",4689,5492
"306",4690,4690
"307",4690,4708
"308",4690,4748
"309",4690,4650
"310",4690,4837
"311",4690,4770
"312",4690,4896
"313",4690,5350
"314",4690,4965
"315",4691,4691
"316",4691,4757
"317",4691,4646
"318",4691,4650
"319",4691,4729
"320",4691,4700
"321",4691,4965
"322",4691,4748
"323",4691,4708
"324",4692,4692
"325",4692,4737
"326",4692,4684
"327",4692,5871
"328",4692,4650
"329",4692,4896
"330",4693,4693
"331",4693,4667
"332",4693,4668
"333",4693,4698
"334",4693,4670
"335",4693,4651
"336",4693,4733
"337",4693,4654
"338",4693,4687
"339",4693,4925
"340",4694,4694
"341",4694,4687
"342",4694,4859
"343",4694,5272
"344",4695,4695
"345",4695,4677
"346",4695,4660
"347",4695,4723
"348",4695,5176
"349",4696,4696
"350",4696,4663
"351",4696,5040
"352",4696,5330
"353",4697,4697
"354",4697,4963
"355",4697,6106
"356",4697,6199
"357",4697,4746
"358",4697,5679
"359",4698,4698
"360",4698,4667
"361",4698,4693
"362",4698,4670
"363",4698,4660
"364",4698,4651
"365",4698,4687
"366",4698,4668
"367",4698,4733
"368",4698,4756
"369",4699,4699
"370",4700,4700
"371",4700,4650
"372",4700,4646
"373",4700,4691
"374",4700,4748
"375",4700,4757
"376",4700,4708
"377",4700,4965
"378",4700,4720
"379",4701,4701
"380",4701,4661
"381",4701,4721
"382",4702,4702
"383",4702,4951
"384",4702,4659
"385",4702,5455
"386",4702,5919
"387",4703,4703
"388",4703,8284
"389",4703,6866
"390",4703,4754
"391",4704,4704
"392",4704,4743
"393",4704,4769
"394",4704,4724
"395",4704,4792
"396",4704,5186
"397",4705,4705
"398",4705,4904
"399",4705,5085
"400",4706,4706
"401",4706,4722
"402",4706,5040
"403",4707,4707
"404",4707,5194
"405",4707,4952
"406",4707,4939
"407",4707,5595
"408",4707,5042
"409",4707,4875
"410",4707,5201
"411",4707,4908
"412",4708,4708
"413",4708,4748
"414",4708,4690
"415",4708,4650
"416",4708,4965
"417",4708,4700
"418",4708,4691
"419",4708,4757
"420",4709,4709
"421",4709,5384
"422",4709,8341
"423",4709,4879
"424",4709,4819
"425",4709,4873
"426",4709,8946
"427",4709,8366
"428",4709,8886
"429",4710,4710
"430",4710,4724
"431",4710,4688
"432",4710,5359
"433",4710,5062
"434",4711,4711
"435",4711,4655
"436",4711,4774
"437",4711,4657
"438",4711,4786
"439",4711,4775
"440",4711,4981
"441",4712,4712
"442",4712,9014
"443",4712,4729
"444",4712,5285
"445",4713,4713
"446",4713,4753
"447",4713,4995
"448",4713,4725
"449",4713,4949
"450",4713,5173
"451",4713,6423
"452",4713,5423
"453",4713,4767
"454",4714,4714
"455",4714,4964
"456",4714,5610
"457",4714,7120
"458",4714,5374
"459",4714,4911
"460",4715,4715
"461",4715,4751
"462",4715,4906
"463",4715,4861
"464",4715,4994
"465",4715,4810
"466",4715,4729
"467",4716,4716
"468",4716,4746
"469",4716,4858
"470",4716,4780
"471",4716,5343
"472",4716,4917
"473",4716,4979
"474",4716,5022
"475",4716,5100
"476",4717,4717
"477",4717,4800
"478",4717,4863
"479",4717,4737
"480",4717,5329
"481",4717,4960
"482",4717,5726
"483",4717,5350
"484",4717,4899
"485",4717,5179
"486",4718,4718
"487",4718,4671
"488",4718,4961
"489",4718,4652
"490",4718,4872
"491",4719,4719
"492",4719,4969
"493",4719,4772
"494",4719,5214
"495",4719,4991
"496",4720,4720
"497",4720,4700
"498",4720,4646
"499",4721,4721
"500",4721,4661
"501",4721,5073
"502",4721,4776
"503",4721,4747
"504",4721,5491
"505",4721,4701
"506",4721,5941
"507",4722,4722
"508",4722,4706
"509",4723,4723
"510",4723,4695
"511",4723,4656
"512",4724,4724
"513",4724,4704
"514",4724,4743
"515",4724,4769
"516",4724,4710
"517",4724,5252
"518",4724,4920
"519",4724,4970
"520",4725,4725
"521",4725,4753
"522",4725,4767
